"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20100203026719I","03-FEB-10","MISSOULA","MT","MISSOULA INTL","INCIDENT","MINOR","OTHER-SPECIFY","LOCKHEED","P2V","7","NEPTUNE AVIATION SERVICES INC","","AGRICULTURAL","","445NA","0","0","","","","","","0","0","0",""
"20100203027869I","03-FEB-10","PALM SPRINGS","CA","PALM SPRINGS INTL","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","68BL","0","0","LYCOMI","I0360 SER A&C","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","8553","125","90",""
"20100204026769I","04-FEB-10","OPA LOCKA","FL","OPA-LOCKA EXECUTIVE","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","414","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","414AW","0","0","CONT M","TSIO-520 SER","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","17600","208","200",""
"20100204026949I","04-FEB-10","COEUR D'ALENE","ID","COEUR D'ALENE - PAPPY BOYINGTON FIELD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA31","350","","","GENERAL OPERATING RULES","","6GR","0","0","","","","","","0","0","0",""
"20100204027029I","04-FEB-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","853AS","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100204027649I","04-FEB-10","OCOTILLO WELLS","CA","OCOTILLO","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","180","","","GENERAL OPERATING RULES","","7264W","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","250","100","20",""
"20100204027689I","04-FEB-10","VIENNA","OH","YOUNGSTOWN-WARREN RGNL","INCIDENT","NONE","OTHER-SPECIFY","CESSNA","172","P","","","GENERAL OPERATING RULES","","98125","0","0","LYCOMI","0-320 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","1925","800","100",""
"20100204027709I","04-FEB-10","DOWAGIAC","MI","DOWAGIAC MUNI","INCIDENT","MINOR","TAXI","","","","","","GENERAL OPERATING RULES","","46320","0","0","HOLBRO","602","HB102-","","PRIVATE PILOT","32","32","0",""
"20100204036169I","04-FEB-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","CLIMB","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","861AS","0","0","GE","CF-34","CF-34-","","","0","0","0",""
"20100205026789I","05-FEB-10","CLEVELAND","OH","CLEVELAND-HOPKINS INTL","INCIDENT","NONE","TAKEOFF: DEPARTURE","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","858AS","0","0","GE","CF34 SERIES","","","AIRLINE TRANSPORT","6586","6586","180",""
"20100205026989I","05-FEB-10","CHICAGO","IL","CHICAGO MIDWAY INTL","INCIDENT","MINOR","LANDING: ROLLOUT","AERO COMMANDER","500","B","CENTRAL AIR SOUTHWEST INC","","AIR TAXI/COMMUTER","","415BH","0","0","LYCOMI","0-540 SERIES","","","","0","0","0",""
"20100205027049I","05-FEB-10","WEST MIFFLIN","PA","ALLEGHENY COUNTY","INCIDENT","NONE","TAKEOFF: DEPARTURE","CANADAIR","CL600 2B16","UNDESIGNATED SERIES","GOODYEAR FLIGHT OPERATIONS","","GENERAL OPERATING RULES","","20G","0","0","","","","","AIRLINE TRANSPORT","19565","4570","60",""
"20100205034699I","05-FEB-10","OCEANSIDE","CA","CAMP PENDLETON MCAS (MUNN FIELD)","INCIDENT","NONE","CLIMB","CESSNA","182","P","","","GENERAL OPERATING RULES","","1869M","0","0","CONT M","O-470 SERIES","","1","COMMERCIAL PILOT","1000","250","50",""
"20100206026969I","06-FEB-10","","HI","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","HUGHES","369","E","JACK HARTER HELICOPTERS INC","","AIR TAXI/COMMUTER","","842LA","0","0","ALLISO","250-C20B","CAE-82","1","","0","0","0",""
"20100206028059I","06-FEB-10","CHANDLER","AZ","","INCIDENT","NONE","CLIMB","AVID","AVID COMMUTER","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","967DR","0","0","BOMBAR","ROTAX (ALL)","582","","PRIVATE PILOT","","","",""
"20100207004879I","07-FEB-10","OXFORD","CT","WATERBURY-OXFORD","INCIDENT","NONE","LANDING: ROLLOUT","PIPER","PA46R","350T","CARMAR G3","","GENERAL OPERATING RULES","","712BL","0","0","LYCOMI","TIO-540-AE2A","","","PRIVATE PILOT","740","75","45",""
"20100207026889I","07-FEB-10","DENVER","CO","DENVER INTL","INCIDENT","MINOR","GROUND-RAMP","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","905SW","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100207026909I","07-FEB-10","TOMBALL","TX","DAVID WAYNE HOOKS MEMORIAL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","161","JUSTFLY FLYING CLUB","","GENERAL OPERATING RULES","","7759W","0","0","LYCOMI","0-320 SERIES","","","STUDENT","53","45","17",""
"20100207027449I","07-FEB-10","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","ROBINSON","R22","BETA","","","GENERAL OPERATING RULES","","116RS","0","1","LYCOMI","0-320 SERIES","","","COMMERCIAL PILOT","","","",""
"20100208004889I","08-FEB-10","MEMPHIS","TN","MEMPHIS INTL","INCIDENT","MINOR","LANDING: ROLLOUT","DOUGLAS","DC8","73F","ASTAR AIR CARGO INC","","AIR CARRIER/COMMERCIAL","","807DH","0","0","NONE","NONE","","","AIRLINE TRANSPORT","8948","548","10",""
"20100208027019I","08-FEB-10","CHARLESTON","WV","YEAGER","INCIDENT","MINOR","TAKEOFF: DEPARTURE","EMBRAER","EMB145","LR","FREEDOM AIRLINES INC","","AIR CARRIER/COMMERCIAL","","858MJ","0","0","ROLLS-","AE3007 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","6700","5500","210",""
"20100208028049I","08-FEB-10","FORT WORTH","TX","FORT WORTH MEACHAM INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","172","R","","","GENERAL OPERATING RULES","","46AF","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","110","110","110",""
"20100208034689I","08-FEB-10","TOPEKA","KS","FORBES FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CANADAIR","CL600 1A11","600","FREEMAN JET","","GENERAL OPERATING RULES","","658CF","0","0","LYCOMI","ALF-502 SER.","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","24200","0","0",""
"20100209027309I","09-FEB-10","LINCOLN","NE","LINCOLN","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","DASSAULT","FALCON2000","UNDESIGNATED SERIES","NETJETS AVIATION INC","","AIR TAXI/COMMUTER","","268QS","0","0","CFE CO","CFE 738-1-1B","","","","0","0","0",""
"20100209027629I","09-FEB-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","857AS","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100209028199I","09-FEB-10","MOUNT PLEASANT","SC","MT PLEASANT RGNL-FAISON FIELD","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA28","236","","","GENERAL OPERATING RULES","","4345R","0","0","","","","","PRIVATE PILOT","370","285","27",""
"20100210041639I","10-FEB-10","VERO BEACH","FL","VERO BEACH MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","161","FLIGHT SAFETY INTERNATIONAL","","PILOT SCHOOLS","","9250W","0","0","LYCOMI","0-320 SERIES","N/A","","STUDENT","31","0","31",""
"20100211027109I","11-FEB-10","EL PASO","TX","EL PASO INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CO Z","COZY","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","369CZ","0","0","LYCOMI","0-290 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","10000","232","100",""
"20100211027429I","11-FEB-10","BROOKINGS","SD","BROOKINGS RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172RG","NO SERIES EXISTS","SOUTH DAKOTA STATE UNIVERSITY","","PILOT SCHOOLS","","117PB","0","0","LYCOMI","O&VO-360 SER","F1A6","1","COMMERCIAL PILOT","295","27","15",""
"20100212027299I","12-FEB-10","BOERNE","TX","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","J3C","65","","","GENERAL OPERATING RULES","","70997","0","0","CONT M","A&C65 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2300","400","250",""
"20100212027989I","12-FEB-10","FRENCH LICK","IN","FRENCH LICK MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","P210","N","","","GENERAL OPERATING RULES","","210PH","0","0","CONT M","TSIO-520 SER","","1","COMMERCIAL PILOT","1700","150","19",""
"20100212028009I","12-FEB-10","PROVIDENCE","RI","THEODORE FRANCIS GREEN STATE","INCIDENT","MINOR","LANDING: TOUCHDOWN","LEARJET","45","NO SERIES EXISTS","UNITED STATES AVIATION CO","","AIR TAXI/COMMUTER","","451HC","0","0","HONEYW","TFE731-20AR","","1","AIRLINE TRANSPORT","8020","3020","92",""
"20100212028139I","12-FEB-10","WEST PALM BEACH","FL","PALM BEACH INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","560","XL","NETJETS AVIATION INC","","AIR TAXI/COMMUTER","","628QS","0","0","P&W CA","PW545 SER","","2","","0","0","0",""
"20100212028529I","12-FEB-10","SUGAR LAND","TX","SUGAR LAND RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","LEARJET","25","D","","","GENERAL OPERATING RULES","","43DR","0","0","","","","2","AIRLINE TRANSPORT","21500","1100","65",""
"20100212029229I","12-FEB-10","WATKINS","CO","FRONT RANGE","INCIDENT","MINOR","TAXI","PIPER","PA34","200","DAEDALUS AVIATION","","GENERAL OPERATING RULES","","1533E","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1520","147","35",""
"20100213027149I","13-FEB-10","COEUR D'ALENE","ID","","INCIDENT","NONE","DESCENT","PIPER","PA22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","636A","0","0","LYCOMI","0-290 SERIES","","","PRIVATE PILOT","295","72","10",""
"20100213027179I","13-FEB-10","CAMERON PARK","CA","CAMERON AIRPARK","INCIDENT","MINOR","LANDING: APPROACH","RANS","S9","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","195R","0","0","ROTAX","582","BLUE H","","PRIVATE PILOT","1000","49","0",""
"20100213027459I","13-FEB-10","GEORGETOWN","TX","GEORGETOWN MUNI","INCIDENT","MINOR","RUN-UP AREA","CHAMPION","7ECA","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","8359V","0","0","LYCOMI","0-235 SERIES","","1","COMMERCIAL PILOT","4150","350","27",""
"20100213027509I","13-FEB-10","REDMOND","OR","ROBERTS FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","71344","0","0","LYCOMI","IO-540 SER","","1","PRIVATE PILOT","300","60","6",""
"20100213028339I","13-FEB-10","MENOMONIE","WI","MENOMONIE MUNI-SCORE FIELD","INCIDENT","MINOR","TAXI","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9582U","0","0","CONT M","TSIO-360 SER","","1","COMMERCIAL PILOT","1930","343","29",""
"20100213029119I","13-FEB-10","SAN JOSE","CA","REID-HILLVIEW OF SANTA CLARA COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","STEMME","S10","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","8679","0","0","","","","","PRIVATE PILOT","108","35","18",""
"20100213036579I","13-FEB-10","CHARLOTTE","NC","CHARLOTTE/DOUGLAS INTL","INCIDENT","NONE","TAXI","BOMBARDIER","CL600 2D24","900","MESA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","939LR","0","0","GE","CF34 SERIES","","","AIRLINE TRANSPORT","12800","3687","187",""
"20100214027419I","14-FEB-10","DUCHESNE","UT","DUCHESNE MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","5972W","0","0","","","","","PRIVATE PILOT","52","52","5",""
"20100214027539I","14-FEB-10","SAINT GEORGE","UT","ST GEORGE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20F","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9569M","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","228","187","5",""
"20100214049019I","14-FEB-10","MANSFIELD","OH","MANSFIELD LAHM RGNL","INCIDENT","MINOR","TAXI","BEECH","90","E90","","","GENERAL OPERATING RULES","","93A","0","0","P&W","PT6A SER","N/A","","PRIVATE PILOT","0","43","705",""
"20100215027209I","15-FEB-10","HARTFORD","CT","HARTFORD-BRAINARD","INCIDENT","MINOR","RUN-UP AREA","CESSNA","150","M","","","GENERAL OPERATING RULES","","7658U","0","0","CONT M","0-200 SERIES","","1","PRIVATE PILOT","254","9","2",""
"20100215027369I","15-FEB-10","FARGO","ND","HECTOR INTL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","161","","","PILOT SCHOOLS","","462ND","0","0","LYCOMI","O-320-D3G","","","STUDENT","50","50","25",""
"20100215027409I","15-FEB-10","CRESTVIEW","FL","BOB SIKES","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","250","","","GENERAL OPERATING RULES","","7394P","0","0","LYCOMI","0-540 SERIES","A1D5","","COMMERCIAL PILOT","2522","142","7",""
"20100216005309I","16-FEB-10","ANCHORAGE","AK","TED STEVENS ANCHORAGE INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA18","150","","","GENERAL OPERATING RULES","","1661P","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","8250","7000","30",""
"20100216027169I","16-FEB-10","NEWARK","NJ","NEWARK LIBERTY INTL","INCIDENT","NONE","TAKEOFF: DEPARTURE","EMBRAER","EMB145","LR","CHAUTAUQUA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","578RP","0","0","ROLLS-","AE3007 SER","","","","0","0","0",""
"20100216027199I","16-FEB-10","TETERBORO","NJ","TETERBORO","INCIDENT","MINOR","TAXI","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","THE LIMITED BRANDS INC","","PART 125 OPERATOR","","501LS","0","0","","","","","AIRLINE TRANSPORT","14000","2000","100",""
"20100216027339I","16-FEB-10","ROBERT LEE","TX","ROBERT LEE","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","T210","L","","","GENERAL OPERATING RULES","","2391S","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","7500","2500","100",""
"20100216028719I","16-FEB-10","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","MINOR","TAXI","EMBRAER","EMB120","ER","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","226SW","0","0","P&W CA","PW118","","","AIRLINE TRANSPORT","10173","6677","174",""
"20100217027379I","17-FEB-10","WENATCHEE","WA","PANGBORN MEMORIAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6273V","0","0","LYCOMI","O&VO-360 SER","","1","PRIVATE PILOT","910","5","3",""
"20100217028379I","17-FEB-10","SAINT PAUL","MN","ST PAUL DOWNTOWN HOLMAN FLD","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA34","220T","","","GENERAL OPERATING RULES","","999CR","0","0","CONT M","TSIO-360 SER","","","AIRLINE TRANSPORT","17000","634","19",""
"20100218027469I","18-FEB-10","CLEBURNE","TX","BLACKWOOD AIRPARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA12","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","4180M","0","0","LYCOMI","0-235 SERIES","","","PRIVATE PILOT","53","11","15",""
"20100218027529I","18-FEB-10","EAST ALTON","IL","ST LOUIS RGNL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","510","NO SERIES EXISTS","KIMBALL INTERNATIONAL TRANSIT","","GENERAL OPERATING RULES","","910SY","0","0","P&W CA","PW615F","A","2","AIRLINE TRANSPORT","7000","353","86",""
"20100218027639I","18-FEB-10","KISSIMMEE","FL","KISSIMMEE GATEWAY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","R","ORLANDO FLIGHT TRAINING","","PILOT SCHOOLS","","1747L","0","0","LYCOMI","IO-360","L2A","1","STUDENT","30","30","30",""
"20100218028699I","18-FEB-10","JUNEAU","AK","JUNEAU INTL","INCIDENT","MINOR","TAXI","CESSNA","207","A","ALASKA JUNEAU AERONAUTICS INC","","AIR TAXI/COMMUTER","","62AK","0","0","CONT M","IO-520-F","","1","AIRLINE TRANSPORT","13500","1000","120",""
"20100219027549I","19-FEB-10","LANSING","MI","CAPITAL REGION INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","161","","","GENERAL OPERATING RULES","","2833D","0","0","LYCOMI","0-320 SERIES","","","STUDENT","55","55","3",""
"20100219028999I","19-FEB-10","WEST PALM BEACH","FL","NORTH PALM BEACH COUNTY GENERAL AVIATION","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA28R","200","","","GENERAL OPERATING RULES","","55177","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","500","40","30",""
"20100219031009I","19-FEB-10","","","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BOEING","777","222","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","213UA","0","0","P&W CA","PT6A-66 SER","PW-77","","","0","0","0",""
"20100220027609I","20-FEB-10","MIDDLETOWN","DE","SUMMIT","INCIDENT","MINOR","TAXI","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5749X","0","0","LYCOMI","AEIO-360 SER","","1","COMMERCIAL PILOT","1409","530","8",""
"20100220027619I","20-FEB-10","SUFFOLK","VA","SUFFOLK EXECUTIVE","INCIDENT","NONE","LANDING: APPROACH","PAC","750XL","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","750XL","0","0","P&W","PT6A SER","","1","","16000","1200","25",""
"20100220027759I","20-FEB-10","NEWPORT","VT","","INCIDENT","MINOR","TAXI","CESSNA","120","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","4181N","0","0","CONT M","C85 SERIES","","1","COMMERCIAL PILOT","1200","600","10",""
"20100220027789I","20-FEB-10","CANON","GA","FRANKLIN COUNTY","INCIDENT","MINOR","TAKEOFF: ROTATION","BEECH","35","M35","SWINK AVIATION","","GENERAL OPERATING RULES","","122X","0","0","CONT M","I0-470 SERIES","IO-470","1","COMMERCIAL PILOT","13500","250","5",""
"20100220027819I","20-FEB-10","PUNTA GORDA","FL","PUNTA GORDA","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20M","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9155F","0","0","LYCOMI","TI0-540 SER","","1","PRIVATE PILOT","1030","600","20",""
"20100220028029I","20-FEB-10","NASHVILLE","TN","NASHVILLE INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA46","310P","","","GENERAL OPERATING RULES","","43368","0","0","CONT M","TSIO-520 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2632","162","64",""
"20100220028281I","20-FEB-10","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","MINOR","RUN-UP AREA","CESSNA","172","S","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","GENERAL OPERATING RULES","","376ER","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT","121","121","9",""
"20100220028309I","20-FEB-10","","FL","NEW SMYRNA BEACH MUNI","INCIDENT","MINOR","TAXI","NORTH AMERICAN","SNJ","5","","","GENERAL OPERATING RULES","","3670F","0","0","P&W","R1340 SERIES","","","AIRLINE TRANSPORT","10500","0","0",""
"20100220029309I","20-FEB-10","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","INCIDENT","MINOR","TAKEOFF: ROTATION","CESSNA","750","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","521FP","0","0","ALLISO","AE3007C SER","","2","","0","0","0",""
"20100221027749I","21-FEB-10","JEFFERSON","GA","JACKSON COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20E","NO SERIES EXISTS","D AND L MOONEY","","GENERAL OPERATING RULES","","9257V","0","0","LYCOMI","I0360 SER","","1","COMMERCIAL PILOT","2034","110","20",""
"20100221027821I","21-FEB-10","OPA LOCKA","FL","OPA- LOCKA EXECUTIVE","INCIDENT","MINOR","TAXI","CESSNA","210","D","","","GENERAL OPERATING RULES","","3854Y","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","4500","2175","0",""
"20100221028679I","21-FEB-10","ZIONSVILLE","IN","INDIANAPOLIS EXECUTIVE","INCIDENT","MINOR","LANDING: APPROACH","MITSUBISHI","MU2B","40","","","GENERAL OPERATING RULES","","68CL","0","0","AIRESE","TPE331 SERIES","","","PRIVATE PILOT","1800","100","15",""
"20100221029079I","21-FEB-10","ALEXANDER CITY","AL","THOMAS C RUSSELL FLD","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","302BM","0","0","LYCOMI","IO-390-X","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2200","250","55",""
"20100221036179I","21-FEB-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","975EV","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100222001179I","22-FEB-10","SAN ANTONIO","TX","STINSON MUNI","INCIDENT","MINOR","LANDING","CESSNA","152","NO SERIES EXISTS","","","GENERAL OPERATING RULES","UNKNOWN","4835B","0","0","","","","1","","285","280","30",""
"20100222027799I","22-FEB-10","","","STINSON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","152","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","4853B","0","0","","","","1","PRIVATE PILOT","285","280","30",""
"20100222027969I","22-FEB-10","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","300","UNDESIGNATED SERIES","AVIATION SYSTEM STANDARDS","","AIR TAXI/COMMUTER","","81","0","0","P&W CA","PT6A-60A","","","AIRLINE TRANSPORT","18000","4500","150",""
"20100222028119I","22-FEB-10","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","INCIDENT","NONE","UNKNOWN","BOMBARDIER","CL600 2C10","700","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","390CA","0","0","GE","CF34 SERIES","","","","0","0","0",""
"20100222029149I","22-FEB-10","SAN JOSE","CA","NORMAN Y. MINETA SAN JOSE INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","AEROSPATIALE","AS350","BA","","","GENERAL OPERATING RULES","","7QK","0","0","TURBOM","ARRIEL 1SER","","","","0","0","0",""
"20100222029349I","22-FEB-10","NORCO","CA","CHINO","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","177RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","1858Q","0","0","LYCOMI","IO-360-A1B6D","N/A","1","AIRLINE TRANSPORT","10000","1500","15",""
"20100222030089I","22-FEB-10","GUERNSEY","WY","CAMP GUERNSEY","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA24","250","","","GENERAL OPERATING RULES","","5161P","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","1714","120","10",""
"20100222030489I","22-FEB-10","SPRINGFIELD","MO","SPRINGFIELD-BRANSON NATIONAL","INCIDENT","MINOR","TAXI","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","231KQ","0","0","CONTIN","TSIO-360","LB 1","1","COMMERCIAL PILOT","2000","400","30",""
"20100222036589I","22-FEB-10","SAINT PETERSBURG","FL","ALBERT WHITTED","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","172","M","","","GENERAL OPERATING RULES","","1392U","0","0","LYCOMI","0-320 SERIES","UNKNOW","1","PRIVATE PILOT","940","940","12",""
"20100223004899I","23-FEB-10","FORT PIERCE","FL","ST LUCIE COUNTY INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","P","ARI BEN AVIATOR","","PILOT SCHOOLS","","88EP","0","0","LYCOMI","0-320 SERIES","D2J","1","STUDENT","24","24","24",""
